frequency_id,line_id,start_time,end_time,headway_sec
T365,A_1,14:00:00,14:29:00,60
T366,A_1,13:45:00,14:14:00,60
T367,A_1,13:30:00,13:59:00,60
T368,A_1,13:15:00,13:44:00,60
T369,A_1,13:00:00,13:29:00,60
T37,A_2,16:09:00,16:38:00,60
T370,A_1,12:45:00,13:14:00,60
T371,A_1,12:30:00,12:59:00,60
T372,A_1,12:15:00,12:44:00,60
T373,A_1,12:00:00,12:29:00,60
T374,A_1,11:45:00,12:14:00,60
T375,A_1,11:30:00,11:59:00,60
T376,A_1,11:15:00,11:44:00,60
T377,A_1,11:00:00,11:29:00,60
T378,A_1,10:45:00,11:14:00,60
T379,A_1,10:30:00,10:59:00,60
T38,A_2,16:17:00,16:46:00,60
T380,A_1,10:15:00,10:44:00,60
T381,A_1,10:00:00,10:29:00,60
T382,A_1,09:45:00,10:14:00,60
T383,A_1,09:30:00,09:59:00,60
T384,A_1,09:15:00,09:44:00,60
T385,A_1,09:00:00,09:29:00,60
T386,A_1,08:45:00,09:14:00,60
T387,A_1,08:30:00,08:59:00,60
T388,A_1,08:15:00,08:44:00,60
T389,A_1,08:00:00,08:29:00,60
T39,A_2,16:25:00,16:54:00,60
T390,A_1,07:45:00,08:14:00,60
T391,A_1,07:30:00,07:59:00,60
T392,A_1,07:15:00,07:44:00,60
T393,A_1,07:00:00,07:29:00,60
T394,A_1,06:45:00,07:14:00,60
T395,A_1,06:30:00,06:59:00,60
T396,A_1,06:15:00,06:44:00,60
T4,A_2,21:07:00,21:36:00,60
T40,A_2,16:33:00,17:02:00,60
T401,A_1,00:02:00,00:31:00,60
T405,A_2,23:20:00,23:49:00,60
T406,A_2,23:05:00,23:34:00,60
T407,A_2,22:50:00,23:19:00,60
T408,A_2,22:35:00,23:04:00,60
T409,A_2,22:20:00,22:49:00,60
T41,A_2,16:41:00,17:10:00,60
T410,A_2,22:05:00,22:34:00,60
T411,A_2,21:50:00,22:19:00,60
T412,A_2,21:35:00,22:04:00,60
T413,A_2,21:20:00,21:49:00,60
T414,A_2,21:05:00,21:34:00,60
T415,A_2,20:50:00,21:19:00,60
T416,A_2,20:35:00,21:04:00,60
T417,A_2,20:20:00,20:49:00,60
T418,A_2,20:05:00,20:34:00,60
T419,A_2,19:50:00,20:19:00,60
T42,A_2,16:49:00,17:18:00,60
T420,A_2,19:35:00,20:04:00,60
T421,A_2,19:20:00,19:49:00,60
T422,A_2,19:05:00,19:34:00,60
T423,A_2,18:50:00,19:19:00,60
T424,A_2,18:35:00,19:04:00,60
T425,A_2,18:20:00,18:49:00,60
T427,A_2,00:00:00,00:29:00,60
T428,A_2,18:05:00,18:34:00,60
T429,A_2,17:50:00,18:19:00,60
T43,A_2,16:57:00,17:26:00,60
T430,A_2,17:35:00,18:04:00,60
T431,A_2,17:20:00,17:49:00,60
T432,A_2,17:05:00,17:34:00,60
T433,A_2,16:50:00,17:19:00,60
T434,A_2,16:35:00,17:04:00,60
T435,A_2,16:20:00,16:49:00,60
T436,A_2,16:05:00,16:34:00,60
T437,A_2,15:50:00,16:19:00,60
T438,A_2,15:35:00,16:04:00,60
T439,A_2,15:20:00,15:49:00,60
T44,A_2,17:05:00,17:34:00,60
T440,A_2,15:05:00,15:34:00,60
T441,A_2,14:50:00,15:19:00,60
T442,A_2,14:35:00,15:04:00,60
T443,A_2,14:20:00,14:49:00,60
T444,A_2,14:05:00,14:34:00,60
T445,A_2,13:50:00,14:19:00,60
T446,A_2,13:35:00,14:04:00,60
T447,A_2,13:20:00,13:49:00,60
T448,A_2,13:05:00,13:34:00,60
T449,A_2,12:50:00,13:19:00,60
T45,A_2,17:14:00,17:43:00,60
T450,A_2,12:35:00,13:04:00,60
T451,A_2,12:20:00,12:49:00,60
T452,A_2,12:05:00,12:34:00,60
T453,A_2,11:50:00,12:19:00,60
T454,A_2,11:35:00,12:04:00,60
T455,A_2,11:20:00,11:49:00,60
T456,A_2,11:05:00,11:34:00,60
T457,A_2,10:50:00,11:19:00,60
T458,A_2,10:35:00,11:04:00,60
T459,A_2,10:20:00,10:49:00,60
T46,A_2,17:23:00,17:52:00,60
T460,A_2,10:05:00,10:34:00,60
T461,A_2,09:50:00,10:19:00,60
T462,A_2,09:35:00,10:04:00,60
T463,A_2,09:20:00,09:49:00,60
T464,A_2,09:05:00,09:35:00,60
T465,A_2,08:50:00,09:20:00,60
T466,A_2,08:35:00,09:05:00,60
T467,A_2,08:20:00,08:50:00,60
T468,A_2,08:05:00,08:35:00,60
