shapeid,id,x,y,z,seq_id
66208,66208,234771.77519999997,891397.7685,0,3
66209,66209,234755.5394,891457.7395,0,1
66209,66209,234750.2914,891469.7175,0,2
66209,66209,234748.5844,891473.2367,0,3
66209,66209,234737.9604,891500.1125,0,4
66209,66209,234734.6851,891511.2759,0,5
66209,66209,234731.02675000002,891523.7502,0,6
68458,68458,235387.3334,890627.83575,0,1
68458,68458,235393.8173,890639.0852,0,2
68458,68458,235400.9666,890651.2951,0,3
68458,68458,235407.53860000003,890662.5107,0,4
68459,68459,235407.53860000003,890662.5107,0,1
68459,68459,235414.1106,890673.7263,0,2
68459,68459,235458.3825,890749.223,0,3
68459,68459,235464.89605,890760.4893,0,4
68460,68460,235510.4924,890831.58265,0,1
68460,68460,235518.8035,890841.5796,0,2
68460,68460,235520.6269,890843.7799,0,3
68460,68460,235554.0341,890878.8449,0,4
68460,68460,235562.9453,890888.3316,0,5
68461,68461,235464.89605,890760.4893,0,1
68461,68461,235471.4096,890771.7556,0,2
68461,68461,235484.8208,890795.2864,0,3
68461,68461,235498.7115,890817.4055,0,4
68461,68461,235502.1813,890821.5857,0,5
68461,68461,235510.4924,890831.58265,0,6
68462,68462,235616.7649,890946.3149,0,1
68462,68462,235625.5957,890955.8561,0,2
68462,68462,235635.9258,890967.0239,0,3
68462,68462,235651.2467,890981.839,0,4
68462,68462,235660.771,890990.5979500001,0,5
68463,68463,235660.771,890990.5979500001,0,1
68463,68463,235670.2953,890999.3569,0,2
68463,68463,235685.2197,891012.4075,0,3
68464,68464,235562.9453,890888.3316,0,1
68464,68464,235571.8565,890897.8183,0,2
68464,68464,235607.9341,890936.7737,0,3
68464,68464,235616.7649,890946.3149,0,4
68465,68465,235339.90899999999,890559.3421,0,1
68465,68465,235347.908,890569.4829,0,2
68465,68465,235358.4465,890581.9464,0,3
68465,68465,235373.3103,890603.2967,0,4
68465,68465,235380.8495,890616.5863,0,5
68465,68465,235387.3334,890627.83575,0,6
68516,68516,236406.04885,890232.80695,0,1
68516,68516,236414.09,890228.3078,0,2
68516,68516,236426.6135,890221.4161,0,3
68516,68516,236458.1251,890200.4414,0,4
68516,68516,236468.3959,890195.4793,0,5
68781,68781,234731.02675000002,891523.7502,0,1
68781,68781,234727.3684,891536.2245,0,2
68781,68781,234724.2779,891546.7674,0,3
68781,68781,234718.83185,891558.77735,0,4
68782,68782,234718.83185,891558.77735,0,1
68782,68782,234713.3858,891570.7873,0,2
68782,68782,234702.8575,891587.347,0,3
68782,68782,234693.4261,891600.0284,0,4
68782,68782,234680.7326,891613.3656,0,5
68782,68782,234661.1048,891630.2189,0,6
68782,68782,234616.7363,891669.1411,0,7
68782,68782,234608.7336,891680.3383,0,8
68782,68782,234604.7836,891689.9879,0,9
68782,68782,234603.8799,891699.3282,0,10
68782,68782,234606.206,891724.6379,0,11
68782,68782,234608.9388,891746.2686,0,12
68782,68782,234610.13815,891759.2819999999,0,13
68831,68831,235629.0365,891251.6529999999,0,1
68831,68831,235625.1309,891264.0143,0,2
68831,68831,235623.3883,891269.8417,0,3
68831,68831,235622.5321,891282.1311,0,4
68831,68831,235623.7608,891291.1447,0,5
68831,68831,235624.7095,891295.3951,0,6
68831,68831,235625.1696,891297.5107,0,7
68831,68831,235633.7508,891323.5631,0,8
68831,68831,235640.7106,891345.8941,0,9
68831,68831,235643.4918,891365.6481,0,10
68831,68831,235640.6244,891382.7936,0,11
68832,68832,235645.3342,891202.0835,0,1
68832,68832,235632.9421,891239.2917,0,2
68832,68832,235629.0365,891251.6529999999,0,3
68833,68833,235692.518,891035.8135,0,1
68833,68833,235677.0057,891097.1359,0,2
68833,68833,235673.50274999999,891109.7072000001,0,3
68834,68834,235673.50274999999,891109.7072000001,0,1
68834,68834,235669.9998,891122.2785,0,2
68834,68834,235653.2485,891177.2588,0,3
68835,68835,234833.2052,890592.6321,0,1
68835,68835,234839.9805,890603.8027,0,2
68835,68835,234878.9773,890672.9397,0,3
68835,68835,234885.35655,890684.2688,0,4
68836,68836,234800.9501,890537.4118,0,1
68836,68836,234821.5225,890573.9198,0,2
68836,68836,234826.4299,890581.4615,0,3
68836,68836,234833.2052,890592.6321,0,4
68837,68837,235163.51285,891017.50865,0,1
68837,68837,235173.0937,891026.3861,0,2
68837,68837,235187.0714,891040.137,0,3
68837,68837,235203.8411,891061.0282,0,4
68837,68837,235209.6549,891071.7044,0,5
68837,68837,235212.5999,891079.6418,0,6
68837,68837,235213.172,891081.8493,0,7
68838,68838,234885.35655,890684.2688,0,1
68838,68838,234891.7358,890695.5979,0,2
68838,68838,234962.0321,890820.6549,0,3
68838,68838,234969.05550000002,890831.4247,0,4
68839,68839,235120.19994999998,890979.1885500001,0,1
68839,68839,235129.9884,890987.741,0,2
68839,68839,235153.932,891008.6312,0,3
68839,68839,235163.51285,891017.50865,0,4
68840,68840,234969.05550000002,890831.4247,0,1
68840,68840,234976.0789,890842.1945,0,2
68840,68840,234987.5551,890858.1417,0,3
68840,68840,235006.8427,890877.6188,0,4
