"","weights"
"1126",0
"1127",0
"1128",0
"1129",0
"1130",0
"1131",0
"1132",0
"1133",0
"1134",0
"1135",0
"1136",0
"1137",0
"1138",0
"1139",0
"1140",0
"1141",4.88874520268307
"1142",4.88874520268307
"1143",0
"1144",0
"1145",0
"1146",2.26539837484281
"1147",29.989038365918
"1148",9.25483767789823e-320
"1149",0
"1150",0
"1151",0
"1152",0
"1153",0
"1154",19.6720204628486
"1155",19.6720204628486
"1156",0.728600505193249
"1157",0.728600505193249
"1158",13.0423596675836
"1159",13.0423596675836
"1160",9.25483767789823e-320
"1161",0
"1162",0
"1163",0
"1164",0
"1165",0
"1166",2.79101881153505
"1167",0
"1168",0
"1169",0
"1170",0
"1171",0
"1172",0
"1173",0
"1174",0
"1175",16.0915525769923
"1176",16.0915525769923
"1177",0
"1178",0
"1179",0
"1180",0
"1181",0
"1182",0
"1183",0
"1184",0
"1185",9.25483767789823e-320
"1186",3.73159644903681
"1187",0.153558241272162
"1188",0
"1189",0
"1190",0
"1191",0
"1192",0
"1193",0
"1194",0
"1195",0
"1196",0
"1197",0
"1198",0
"1199",9.25483767789823e-320
"1200",0
"1201",0
"1202",9.25483767789823e-320
"1203",0.0347535040437895
"1204",0
"1205",0
"1206",0
"1207",0
"1208",0
"1209",0
"1210",0
"1211",0
"1212",0
"1213",9.25483767789823e-320
"1214",0
"1215",0
"1216",0
"1217",0
"1218",0
"1219",0
"1220",0
"1221",0
"1222",0
"1223",0
"1224",11.1414429831148
"1225",11.1414429831148
"1226",0.505419798776646
"1227",8.50401278843874
"1228",8.50401278843874
"1229",0
"1230",0
"1231",0
"1232",0.475895906518453
"1233",0
"1234",0
"1235",0
"1236",0.0611366643042022
"1237",0.0611366643042022
"1238",0.30365167740158
"1239",0
"1240",0
"1241",0.337609940311084
"1242",0
"1243",0
"1244",11.0890466447
"1245",11.0890466447
"1246",0
"1247",0
"1248",0
"1249",0
"1250",0
"1251",0.752026073534058
"1252",0
"1253",0
"1254",0
"1255",0
"1256",0
"1257",0
"1258",0
"1259",0
"1260",0
"1261",9.25483767789823e-320
"1262",0
"1263",0
"1264",9.25483767789823e-320
"1265",0
"1266",0
"1267",9.25483767789823e-320
"1268",25.1117886680377
"1269",25.1117886680377
"1270",5.0107481833993
"1271",5.0107481833993
"1272",0
"1273",0
"1274",0.162372168730982
"1275",4.59073948675716
"1276",4.59073948675716
"1277",0
"1278",0
"1279",0
"1280",0
"1281",0.12148876320183
"1282",0
"1283",0
"1284",0
"1285",0
"1286",0
"1287",0
"1288",0
"1289",0
"1290",0
"1291",12.2455761775909
"1292",12.2455761775909
"1293",0
"1294",0
"1295",0
"1296",0.93108209794754
"1297",0
"1298",0
"1299",0
"1300",0
"1301",0
"1302",0
"1303",0
"1304",0
"1305",0
"1306",8.17514472123247
"1307",8.17514472123247
"1308",0
"1309",0
"1310",0
"1311",0
"1312",0
"1313",0
"1314",0
"1315",0
"1316",0
"1317",9.25483767789823e-320
"1318",0
"1319",0
"1320",0
"1321",0
"1322",0
"1323",0
"1324",0
"1325",0
"1326",0
"1327",0
"1328",0
"1329",0
"1330",0
"1331",0
"1332",0
"1333",0
"1334",0
"1335",0
"1336",0
"1337",0
"1338",0
"1339",0.790152208865724
"1340",2.58085072380839
"1341",0.0630717710944547
"1342",22.2957177799187
"1343",22.2957177799187
"1344",0
"1345",0
"1346",0
"1347",0
"1348",0
"1349",0
"1350",0
"1351",8.24310093190223
"1352",8.24310093190223
"1353",0
"1354",0
"1355",0
"1356",0
"1357",0
"1358",0
"1359",0
"1360",0
"1361",0
"1362",0
"1363",0
"1364",11.4212628725369
"1365",11.4212628725369
"1366",0
"1367",0
"1368",0
"1369",0
"1370",1.08948066227637
"1371",0
"1372",0
"1373",0
"1374",0
"1375",0
"1376",0
"1377",4.88874520268307
"1378",4.88874520268307
"1379",4.88874520268307
"1380",0
"1381",0
"1382",0
"1383",0
"1384",0
"1385",1.22846067362913
"1386",1.22846067362913
"1387",2.14038775618382
"1388",2.14038775618382
"1389",0
"1390",0
"1391",0
"1392",9.25483767789823e-320
"1393",2.8606711661015
"1394",9.25483767789823e-320
"1395",0
"1396",0
"1397",0
"1398",0
"1399",9.25483767789823e-320
"1400",0.922378343450244
"1401",0
"1402",0
"1403",0
"1404",0
"1405",0
"1406",0
"1407",0
"1408",0
"1409",0
"1410",0
"1411",0
"1412",0
"1413",0
"1414",0
"1415",1.55273834009748
"1416",1.55273834009748
"1417",0
"1418",0
"1419",0.747144813704245
"1420",0
"1421",0
"1422",0
"1423",0
"1424",0
"1425",0
"1426",2.70538748455303
"1427",0
"1428",0
"1429",0
"1430",0
"1431",0
"1432",9.25483767789823e-320
"1433",0
"1434",0
"1435",2.8606711661015
"1436",2.8606711661015
"1437",2.8606711661015
"1438",9.25483767789823e-320
"1439",0
"1440",0
"1441",0
"1442",0
"1443",0
"1444",0
"1445",0
"1446",0
"1447",9.25483767789823e-320
"1448",0
"1449",0
"1450",0
"1451",0
"1452",0
"1453",0
"1454",0
"1455",1.39387876481235
"1456",8.30525741099343
"1457",0
"1458",0
"1459",0
"1460",0
"1461",0
"1462",0
"1463",0
"1464",0
"1465",0
"1466",0
"1467",0
"1468",0
"1469",0
"1470",1.55463666168327
"1471",0
"1472",0
"1473",0
"1474",0
"1475",0
"1476",0
"1477",0
"1478",0
"1479",0
"1480",0
"1481",0
"1482",0
"1483",0
"1484",0
"1485",0
"1486",0
"1487",0
"1488",9.25483767789823e-320
"1489",2.39810717856985
"1490",0
"1491",0
"1492",0
"1493",0
"1494",0
"1495",0
"1496",0
"1497",0
"1498",0
"1499",0
"1500",0
"1501",0
"1502",0
"1503",0
"1504",0
"1505",0
"1506",0
"1507",0.559022522511092
"1508",0
"1509",0
"1510",0
"1511",0
"1512",0
"1513",0
"1514",0
"1515",0
"1516",0
"1517",0
"1518",0
"1519",0
"1520",0.258907671858492
"1521",9.25483767789823e-320
"1522",3.7491006265093
"1523",0.461294930770077
"1524",0
"1525",0
"1526",0
"1527",0
"1528",0
"1529",0
"1530",0
"1531",0
"1532",0
"1533",0
"1534",0
"1535",0
"1536",0
"1537",0
"1538",0
"1539",9.25483767789823e-320
"1540",0
"1541",0
"1542",9.25483767789823e-320
"1543",16.0915525769923
"1544",9.25483767789823e-320
"1545",0
"1546",0
"1547",0
"1548",0
"1549",0
"1550",19.2168783346296
"1551",14.6120405163838
"1552",0
"1553",0
"1554",0
"1555",0
"1556",0
"1557",0
"1558",0.0520278194546356
"1559",0
"1560",0
"1561",0
"1562",0
"1563",2.74877906111514
"1564",1.44076126246749
"1565",1.44076126246749
"1566",0
"1567",0
"1568",0
"1569",0
"1570",0
"1571",0
"1572",0
"1573",0
"1574",0
"1575",0
"1576",0
"1577",0
"1578",0.93108209794754
"1579",9.25483767789823e-320
"1580",2.79101881153505
"1581",0
"1582",0
"1583",0
"1584",0
"1585",0
"1586",0
"1587",0
"1588",0
"1589",0
"1590",0
"1591",8.65547756498665
"1592",8.65547756498665
"1593",0
"1594",0
"1595",0
"1596",0
"1597",0
"1598",0
"1599",9.25483767789823e-320
"1600",9.25483767789823e-320
"1601",9.25483767789823e-320
"1602",0
"1603",0
"1604",9.25483767789823e-320
"1605",0
"1606",0
"1607",0
"1608",0
"1609",0
"1610",0
"1611",0
"1612",0
"1613",0.747144813704245
"1614",0
"1615",0
"1616",7.50333486443544
"1617",7.50333486443544
"1618",0
"1619",0
"1620",0
"1621",0
"1622",0
"1623",0
"1624",0
"1625",0
"1626",0
"1627",0
"1628",9.25483767789823e-320
"1629",0
"1630",0
"1631",0
"1632",0
"1633",0
"1634",0
"1635",0
"1636",9.25483767789823e-320
"1637",0
"1638",0
"1639",0
"1640",0
"1641",0
"1642",0
"1643",0
"1644",0
"1645",9.25483767789823e-320
"1646",0
"1647",0
"1648",9.25483767789823e-320
"1649",0
"1650",0
"1651",9.25483767789823e-320
"1652",0
"1653",0
"1654",0
"1655",32.8809924180382
"1656",0
"1657",0
"1658",0
"1659",0
"1660",0
"1661",0
"1662",0
"1663",0
"1664",0
"1665",0.246860703956387
"1666",0.246860703956387
"1667",0
"1668",0
"1669",0
"1670",0
"1671",0
"1672",0
"1673",0
"1674",0
"1675",0
"1676",9.25483767789823e-320
"1677",9.25483767789823e-320
"1678",9.25483767789823e-320
"1679",0
"1680",0
"1681",0
"1682",0
"1683",0.327651806283047
"1684",0.327651806283047
"1685",0
"1686",0
"1687",0
"1688",0
"1689",0
"1690",0
"1691",0
"1692",0
"1693",0
"1694",0
"1695",9.25483767789823e-320
"1696",0
"1697",0
"1698",0
"1699",0
"1700",0
"1701",0
"1702",0
"1703",0
"1704",0
"1705",0
"1706",0
"1707",0
"1708",0
"1709",0
"1710",0
"1711",0
"1712",9.25483767789823e-320
"1713",0
"1714",0
"1715",0
"1716",0
"1717",0
"1718",0
"1719",0
"1720",0
"1721",0
"1722",0
"1723",0
"1724",0.335828648263205
"1725",0
"1726",0
"1727",0
"1728",0
"1729",0.505419798776646
