id,link_id,sequence,num_lanes,capacity,max_speed,tags,link_category,length
5764,625,12,1,1000,60,,4,21.233302118320985
5765,625,13,1,1000,60,,4,38.24573812270873
5766,625,14,1,1000,60,,4,41.30160561536875
5767,625,15,1,1000,60,,4,53.321945609701764
5768,625,16,1,1000,60,,4,97.842189919179134
5769,625,17,1,1000,60,,4,33.994493712167298
5770,625,18,1,1000,60,,4,24.416217560950869
5771,625,19,1,1000,60,,4,26.226062194272835
5772,625,20,1,1000,60,,4,21.924596683067744
5773,626,1,1,1000,60,,4,1.3526429388976096
5774,627,1,1,1000,60,,4,23.870632835215169
5775,627,2,1,1000,60,,4,33.123892317843911
5776,627,3,1,1000,60,,4,20.76439958467418
5777,627,4,1,1000,60,,4,26.821905861246982
5778,627,5,1,1000,60,,4,33.060243579573928
5779,627,6,1,1000,60,,4,24.99934597951945
5780,627,7,1,1000,60,,4,29.127261398283469
5781,627,8,1,1000,60,,4,58.548922680372741
5782,627,9,1,1000,60,,4,26.121221479263664
5783,627,10,1,1000,60,,4,23.81857908402398
5784,627,11,1,1000,60,,4,24.501067559808238
5785,627,12,1,1000,60,,4,23.940299172564732
5786,627,13,1,1000,60,,4,22.184848475481093
5787,627,14,1,1000,60,,4,24.797236626633701
5788,627,15,1,1000,60,,4,23.316072539800938
5789,627,16,1,1000,60,,4,27.612015708371484
5790,627,17,1,1000,60,,4,23.457505986330155
5791,627,18,1,1000,60,,4,29.912646669488641
5792,627,19,1,1000,60,,4,49.203121229322271
5793,627,20,1,1000,60,,4,22.034020900530628
5794,627,21,1,1000,60,,4,24.052412104012593
5795,627,22,1,1000,60,,4,21.40999220841125
5796,627,23,1,1000,60,,4,30.24434870948998
5797,627,24,1,1000,60,,4,84.293789748018739
5798,627,25,1,1000,60,,4,164.1781149667143
5799,627,26,1,1000,60,,4,40.154004919512886
5800,627,27,1,1000,60,,4,60.628800665887169
5801,627,28,1,1000,60,,4,27.150577815756016
5802,627,29,1,1000,60,,4,31.477436540603222
