id,nodeid,from_link,to_link,phases,rules,visibility,tags
470,640685745,272,209,,,,
209,182805879,273,89,,,,
211,182805879,273,91,,,,
210,182805879,273,90,,,,
378,640616320,274,163,,,,
379,640616320,274,164,,,,
607,640596564,275,271,,,,
246,182814315,276,108,,,,
247,182814315,276,109,,,,
248,182814315,276,110,,,,
489,182856198,277,216,,,,
490,182856198,277,217,,,,
450,1661249667,278,194,,,,
451,1661249667,278,195,,,,
433,183355464,279,187,,,,
435,183355464,279,189,,,,
434,183355464,279,188,,,,
624,2440989797,280,281,,,,
625,2440989797,280,282,,,,
631,2440989800,281,283,,,,
632,2440989800,281,284,,,,
633,2440989800,281,285,,,,
335,183387909,282,145,,,,
334,183387909,282,144,,,,
333,183387909,282,143,,,,
430,183355464,283,187,,,,
432,183355464,283,189,,,,
431,183355464,283,188,,,,
635,2440989803,284,286,,,,
623,2440989797,285,282,,,,
622,2440989797,285,281,,,,
902,183161282,286,406,,,,
901,183161282,286,405,,,,
1563,183357419,287,707,,,,
1565,183357419,287,709,,,,
1564,183357419,287,708,,,,
642,2440989805,288,289,,,,
643,2440989805,288,290,,,,
644,2440989805,288,291,,,,
552,2440989792,289,241,,,,
638,2440989804,290,287,,,,
639,2440989804,290,288,,,,
16,182837349,291,7,,,,
17,182837349,291,8,,,,
94,640596487,292,41,,,,
95,640596487,292,42,,,,
1376,5112003608,293,614,,,,
1378,5112003608,293,616,,,,
1377,5112003608,293,615,,,,
41,4131101404,294,19,,,,
892,640658840,295,399,,,,
1325,182811595,296,590,,,,
1326,182811595,296,591,,,,
693,640658816,297,313,,,,
1323,182811595,298,590,,,,
1324,182811595,298,591,,,,
388,1063455733,299,169,,,,
387,1063455733,299,168,,,,
389,1063455733,299,170,,,,
91,182805138,300,38,,,,
93,182805138,300,40,,,,
92,182805138,300,39,,,,
385,1063455733,301,169,,,,
384,1063455733,301,168,,,,
386,1063455733,301,170,,,,
710,640658873,302,320,,,,
90,182805138,303,40,,,,
89,182805138,303,39,,,,
88,182805138,303,38,,,,
1059,182859652,304,474,,,,
1060,182859652,304,475,,,,
1061,182859652,304,476,,,,
921,182858494,305,415,,,,
555,640723642,306,242,,,,
556,640723642,306,243,,,,
70,797784811,307,29,,,,
69,797784811,307,28,,,,
478,182831551,308,212,,,,
477,182831551,308,211,,,,
479,182831551,308,213,,,,
190,182822072,309,79,,,,
189,182822072,309,78,,,,
188,182822072,309,77,,,,
1531,182820653,310,687,,,,
1532,182820653,310,688,,,,
1533,182820653,310,689,,,,
692,1037749615,311,312,,,,
1540,182820681,312,694,,,,
1541,182820681,312,695,,,,
891,640658840,313,399,,,,
1225,797784770,314,552,,,,
1224,797784770,314,551,,,,
1226,797784770,314,553,,,,
894,1037749661,315,400,,,,
313,182847214,316,137,,,,
312,182847214,316,136,,,,
311,182847214,316,135,,,,
1265,182848928,317,570,,,,
1264,182848928,317,569,,,,
1263,182848928,317,568,,,,
962,182850688,318,434,,,,
960,182850688,318,432,,,,
961,182850688,318,433,,,,
415,182831143,319,181,,,,
417,182831143,319,183,,,,
416,182831143,319,182,,,,
1331,640658896,320,594,,,,
1332,640658896,320,595,,,,
269,1661249174,321,118,,,,
268,1661249174,321,117,,,,
419,182831143,322,182,,,,
420,182831143,322,183,,,,
418,182831143,322,181,,,,
943,182853135,323,427,,,,
942,182853135,323,426,,,,
944,182853135,323,428,,,,
1086,182849191,324,485,,,,
1087,182849191,324,486,,,,
1088,182849191,324,487,,,,
1424,1063455281,325,634,,,,
1422,1063455281,325,632,,,,
1423,1063455281,325,633,,,,
549,1063455290,326,239,,,,
550,1063455290,326,240,,,,
539,1063455285,327,236,,,,
541,1063455285,327,238,,,,
540,1063455285,327,237,,,,
818,640659286,328,367,,,,
819,640659286,328,368,,,,
1172,1063442876,329,524,,,,
1095,1063442774,330,490,,,,
1094,1063442774,330,489,,,,
486,1063422408,331,215,,,,
485,1063422408,331,214,,,,
473,1063422333,332,210,,,,
1508,1063436057,333,679,,,,
1507,1063436057,333,678,,,,
1474,182827559,334,660,,,,
1473,182827559,334,659,,,,
503,182856209,335,221,,,,
505,182856209,335,223,,,,
504,182856209,335,222,,,,
1315,1063452491,336,588,,,,
1316,1063452491,336,589,,,,
772,182816468,337,349,,,,
774,182816468,337,351,,,,
773,182816468,337,350,,,,
219,1063451541,338,93,,,,
220,1063451541,338,94,,,,
218,1063451541,338,92,,,,
1526,182820653,339,688,,,,
1527,182820653,339,689,,,,
1525,182820653,339,687,,,,
685,1037749605,340,309,,,,
686,1037749605,340,310,,,,
687,1037749605,340,311,,,,
1319,1063452491,341,588,,,,
1320,1063452491,341,589,,,,
616,182814311,342,276,,,,
617,182814311,342,277,,,,
1457,182853175,343,653,,,,
1458,182853175,343,654,,,,
965,182850688,344,434,,,,
963,182850688,344,432,,,,
964,182850688,344,433,,,,
1070,640712599,345,480,,,,
1069,640712599,345,479,,,,
1084,182849191,346,486,,,,
1085,182849191,346,487,,,,
1083,182849191,346,485,,,,
1022,182805449,347,458,,,,
911,1661252107,348,410,,,,
913,1661252107,348,412,,,,
912,1661252107,348,411,,,,
743,1063452474,349,338,,,,
742,1063452474,349,337,,,,
741,1063452474,349,336,,,,
1317,1063452491,350,588,,,,
1318,1063452491,350,589,,,,
1455,640615927,351,651,,,,
1454,640615927,351,650,,,,
1456,640615927,351,652,,,,
319,182806265,352,138,,,,
320,182806265,352,139,,,,
1412,4429093890,353,631,,,,
1411,4429093890,353,630,,,,
1410,4429093890,353,629,,,,
578,640723700,354,256,,,,
46,182804791,355,21,,,,
45,182804791,355,20,,,,
47,182804791,355,22,,,,
1232,640659239,356,556,,,,
1001,182826475,357,450,,,,
1000,182826475,357,449,,,,
999,182826475,357,448,,,,
1328,640659277,358,593,,,,
1327,640659277,358,592,,,,
49,182804791,359,21,,,,
48,182804791,359,20,,,,
50,182804791,359,22,,,,
813,182849344,360,362,,,,
814,182849344,360,363,,,,
815,182849344,360,364,,,,
1129,640628922,361,502,,,,
1128,640628922,361,501,,,,
1130,640628922,361,503,,,,
839,640629187,362,376,,,,
840,640629187,362,377,,,,
27,182837445,363,16,,,,
25,182837445,363,14,,,,
26,182837445,363,15,,,,
801,182849318,364,360,,,,
802,182849318,364,361,,,,
1330,640659277,365,593,,,,
1329,640659277,365,592,,,,
836,640660142,366,375,,,,
834,640659405,367,374,,,,
823,640659334,368,370,,,,
822,640659334,368,369,,,,
996,182826475,369,448,,,,
998,182826475,369,450,,,,
997,182826475,369,449,,,,
833,640659405,370,374,,,,
562,640723668,371,247,,,,
561,640723668,371,246,,,,
34,640712406,372,17,,,,
35,640712406,372,18,,,,
1253,182852399,373,567,,,,
1252,182852399,373,566,,,,
1251,182852399,373,565,,,,
1135,640628982,374,507,,,,
1136,640628982,374,508,,,,
791,640659189,375,356,,,,
790,640659189,375,355,,,,
809,182849344,376,364,,,,
807,182849344,376,362,,,,
808,182849344,376,363,,,,
1174,640629199,377,525,,,,
1492,1063422417,378,670,,,,
1491,1063422417,378,669,,,,
76,182861141,379,31,,,,
75,182861141,379,30,,,,
1401,2037152286,380,624,,,,
1402,2037152286,380,625,,,,
1403,2037152286,380,626,,,,
1371,5112003605,381,613,,,,
1370,5112003605,381,612,,,,
77,2619134046,382,32,,,,
860,640782527,383,386,,,,
111,182805188,384,50,,,,
112,182805188,384,51,,,,
152,182805471,385,64,,,,
153,182805471,385,65,,,,
863,640782532,386,387,,,,
648,1661250759,387,293,,,,
649,1661250759,387,294,,,,
1274,182859995,388,572,,,,
1273,182859995,388,571,,,,
1275,182859995,388,573,,,,
1276,182859995,388,574,,,,
177,2462393501,389,75,,,,
178,2462393501,389,76,,,,
176,2462393501,389,74,,,,
1213,640686662,390,544,,,,
1280,182859995,391,574,,,,
1277,182859995,391,571,,,,
1279,182859995,391,573,,,,
1278,182859995,391,572,,,,
1027,640685797,392,461,,,,
946,182853135,393,427,,,,
947,182853135,393,428,,,,
945,182853135,393,426,,,,
330,183387909,394,143,,,,
331,183387909,394,144,,,,
332,183387909,394,145,,,,
888,183218566,395,398,,,,
887,183218566,395,397,,,,
409,183355429,396,180,,,,
408,183355429,396,179,,,,
884,183218562,397,394,,,,
886,183218562,397,396,,,,
885,183218562,397,395,,,,
900,183161279,398,404,,,,
899,183161279,398,403,,,,
1133,640686321,399,505,,,,
1134,640686321,399,506,,,,
621,2440989793,400,280,,,,
620,2440989793,400,279,,,,
585,640723780,401,259,,,,
586,640723780,401,260,,,,
565,640723686,402,248,,,,
566,640723686,402,249,,,,
903,183161282,403,405,,,,
904,183161282,403,406,,,,
1587,183357423,404,720,,,,
1588,183357423,404,721,,,,
880,183218562,405,396,,,,
878,183218562,405,394,,,,
879,183218562,405,395,,,,
898,183161279,406,404,,,,
897,183161279,406,403,,,,
1557,1063436142,407,705,,,,
1556,1063436142,407,704,,,,
1548,1063436122,408,700,,,,
1549,1063436122,408,701,,,,
1496,1063435966,409,672,,,,
1495,1063435966,409,671,,,,
769,182832836,410,348,,,,
768,182832836,410,347,,,,
1100,1063458925,411,493,,,,
1099,1063458925,411,492,,,,
1110,1063458927,412,496,,,,
1108,1063458927,412,494,,,,
1109,1063458927,412,495,,,,
222,640616002,413,95,,,,
31,182837445,414,14,,,,
32,182837445,414,15,,,,
33,182837445,414,16,,,,
672,640658740,415,305,,,,
671,640658740,415,304,,,,
670,640658740,415,303,,,,
1343,5112003584,416,601,,,,
1344,5112003584,416,602,,,,
1335,5112003572,417,598,,,,
301,640616152,418,132,,,,
299,640616152,418,130,,,,
300,640616152,418,131,,,,
405,182822938,419,177,,,,
286,640616138,420,126,,,,
160,182846504,421,66,,,,
161,182846504,421,67,,,,
1559,640712572,422,706,,,,
480,182831551,423,211,,,,
482,182831551,423,213,,,,
481,182831551,423,212,,,,
1023,182805449,424,458,,,,
770,182832836,425,347,,,,
771,182832836,425,348,,,,
604,640685893,426,269,,,,
605,640685893,426,270,,,,
713,182848958,427,323,,,,
712,182848958,427,322,,,,
714,182848958,427,324,,,,
876,182826903,428,392,,,,
877,182826903,428,393,,,,
