id,road_type,category,from_node,to_node,road_name,tags
63456,1,1,110028979,110276813,Cresson Street,
63457,1,1,111863988,111863997,Whitefield Drive,
63458,1,1,111863988,112555910,Germantown Pike,
63459,1,1,111863988,111761575,Germantown Pike,
63460,1,1,103475387,103409339,38th Street,
63461,1,1,103475387,103473076,Chestnut Avenue,
63462,1,1,103475387,103476653,Chestnut Avenue,
63463,1,1,111863997,111863988,Whitefield Drive,
63464,1,1,103475421,103474896,North 21st Street,
63465,1,1,103475421,103396777,Hayes Avenue,
63466,1,1,103475421,103477166,Hayes Avenue,
63467,1,1,103737598,103590220,Cinnaminson Street,
63468,1,1,103737598,103591420,4th Street,
63469,1,1,103737598,103826894,4th Street,
63470,1,1,103737598,103456031,Cinnaminson Street,
63471,1,1,103360214,103361033,Orlando Road,
63472,1,1,103360214,103361027,Orlando Road,
63473,1,1,103360214,669225111,Orlando Terrace,
63474,1,1,103475469,103425319,Forge Road,
63475,1,1,110553363,109768672,Hunter Street,
63476,1,1,110553363,109846957,North Allison Street,
63477,1,1,103737636,103603892,Cinnaminson Street,
63478,1,1,110291244,109991779,North Hope Street,
63479,1,1,110291244,110291252,West Nedro Avenue,
63480,1,1,110291244,110291239,West Nedro Avenue,
63481,1,1,112126256,111871953,Greenwood Avenue,
63482,1,1,112126256,112125947,Greenwood Avenue,
63483,1,1,112126256,112125988,Florence Avenue,
63484,1,1,110291252,110291256,West Nedro Avenue,
63485,1,1,110291252,109991786,North Howard Street,
63486,1,1,110291252,110291244,West Nedro Avenue,
63487,1,1,110291256,110291252,West Nedro Avenue,
63488,1,1,110291256,110291262,West Nedro Avenue,
63489,1,1,110291256,109848337,North Mascher Street,
63490,1,1,112126269,112125988,Florence Avenue,
63491,1,1,112126269,111706300,Florence Avenue,
63492,1,1,112126269,111871973,Hillside Avenue,
63493,1,1,110291262,110291256,West Nedro Avenue,
63494,1,1,110291262,110233811,North 2nd Street,
63495,1,1,110291262,109848345,North 2nd Street,
63496,1,1,110291262,110249273,West Nedro Avenue,
63497,1,1,111864129,112307920,Bryn Mawr Avenue,
63498,1,1,111864129,111864144,Upland Terrace,
63499,1,1,111864129,111851235,Bryn Mawr Avenue,
63500,1,1,111864129,111671713,Aberdale Road,
63501,1,1,110291268,110249273,West Nedro Avenue,
63502,1,1,110291268,110291275,West Nedro Avenue,
63503,1,1,110291268,109991869,North 4th Street,
63504,1,1,112126282,111706300,Florence Avenue,
63505,1,1,112126282,111706093,Runnymede Avenue,
63506,1,1,112126282,112266958,Runnymede Avenue,
63507,1,1,110291275,110137963,North Leithgow Street,
63508,1,1,110291275,110291268,West Nedro Avenue,
63509,1,1,110291275,110291278,West Nedro Avenue,
63510,1,1,110291278,110291283,West Nedro Avenue,
63511,1,1,110291278,110291275,West Nedro Avenue,
63512,1,1,111864144,111864129,Upland Terrace,
63513,1,1,111864144,111864170,Upland Terrace,
63514,1,1,111864144,112547924,Cherry Lane,
63515,1,1,103737682,103700483,8th Street,
63516,1,1,103737682,103461203,8th Street,
63517,1,1,103737682,103603892,Cinnaminson Street,
63518,1,1,110291283,109730578,West Nedro Avenue,
63519,1,1,110291283,110137973,North Lawrence Street,
63520,1,1,110291283,110291278,West Nedro Avenue,
63521,1,1,110029147,110029153,Norwitch Drive,
63522,1,1,110029147,110029147,Norwitch Drive,
63523,1,1,110029153,768600138,Norwitch Drive,
63524,1,1,110029153,110029147,Norwitch Drive,
63525,1,1,110029153,110334530,South 67th Street,
63526,1,1,2443329670,2443329601,Macdonald Avenue,
63527,1,1,2443329670,2443329601,Old Cedarbrook Road,
63528,1,1,2443329670,2443329684,Old Cedarbrook Road,
63529,1,1,2916789078,110129671,Grays Ferry Avenue,
63530,1,1,2916789078,109864042,Christian Street,
63531,1,1,2916789078,110321229,Grays Ferry Avenue,
63532,1,1,2916789078,109864020,Christian Street,
63533,1,1,111864186,112328112,Maple Avenue,
63534,1,1,111864186,111864201,Upland Terrace,
63535,1,1,111864186,111864170,Upland Terrace,
63536,1,1,110291326,110291330,West Nedro Avenue,
63537,1,1,111864201,638863785,Oakland Terrace,
63538,1,1,111864201,111864186,Upland Terrace,
63539,1,1,111864201,111864213,Upland Terrace,
63540,1,1,103475594,103479697,Burlington Pike,
63541,1,1,103475594,103475667,Westfield Drive,
63542,1,1,110569197,110438156,West Flora Street,
63543,1,1,110262867,109833425,Puritan Road,
63544,1,1,110262867,109833348,Fordham Road,
63545,1,1,110262867,110317166,Fordham Road,
63546,1,1,111864213,111864201,Upland Terrace,
63547,1,1,111864213,112531837,Old Lancaster Road,
63548,1,1,111864213,111914446,Old Lancaster Road,
63549,1,1,110132292,109989657,South 53rd Street,
63550,1,1,110132292,110132274,Paschall Avenue,
63551,1,1,110132292,110132309,Paschall Avenue,
63552,1,1,110291357,110337521,Kemble Avenue,
63553,1,1,110291357,109911211,West Nedro Avenue,
63554,1,1,110291357,110053770,Kemble Avenue,
63555,1,1,110291357,110257095,West Nedro Avenue,
63556,1,1,110291368,109850882,North 21st Street,
63557,1,1,110291368,110291363,West Nedro Avenue,
63558,1,1,110291368,110454990,North 21st Street,
63559,1,1,110291368,110188167,West Nedro Avenue,
63560,1,1,110029233,110331379,East Westmoreland Street,
63561,1,1,110029233,110029245,Argyle Street,
63562,1,1,110291392,109858873,Pulaski Avenue,
63563,1,1,110291392,110259635,West Abbottsford Avenue,
63564,1,1,110291392,110291389,Pulaski Avenue,
63565,1,1,110291400,110342586,West Manheim Street,
63566,1,1,110291400,109785906,West Manheim Street,
63567,1,1,110291400,109827901,Pulaski Avenue,
63568,1,1,110291400,110291405,Pulaski Avenue,
