"start_stops","end_stops","r_type","service_id","Road_Index","stop_link_sequence","road_edge_id","r_service_lines","link_travel_time","edge_id","wait_time","walk_time","transit_time","transfer_penalty","day_transit_time","dist"
"A11","A9","RTS","A_2","0",4,"4/3","A_2",240,180,120,50,240,240,240,5
"A12","A1","RTS","A_2","0",3,"6/4/3/26/23/21/19/17/15/13/11","A_2",1320,181,120,50,1320,240,1320,27.5
"A12","A10","RTS","A_2","0",3,"6/4","A_2",240,182,120,50,240,240,240,5
"A12","A14","RTS","A_1","0",12,"7/9","A_1",480,183,120,50,480,240,480,10
"A12","A2","RTS","A_2","0",3,"6/4/3/26/23/21/19/17/15/13","A_2",1200,184,120,50,1200,240,1200,25
"A12","A3","RTS","A_2","0",3,"6/4/3/26/23/21/19/17/15","A_2",1080,185,120,50,1080,240,1080,22.5
"A12","A4","RTS","A_2","0",3,"6/4/3/26/23/21/19/17","A_2",960,186,120,50,960,240,960,20
"A12","A5","RTS","A_2","0",3,"6/4/3/26/23/21/19","A_2",900,187,120,50,900,240,900,18.75
"A12","A6","RTS","A_2","0",3,"6/4/3/26/23/21","A_2",780,188,120,50,780,240,780,16.25
"A12","A7","RTS","A_2","0",3,"6/4/3/26/23","A_2",660,189,120,50,660,240,660,13.75
"A12","A8","RTS","A_2","0",3,"6/4/3/26","A_2",540,190,120,50,540,240,540,11.25
"A12","A9","RTS","A_2","0",3,"6/4/3","A_2",360,191,120,50,360,240,360,7.5
"A13","A1","RTS","A_2","0",2,"8/6/4/3/26/23/21/19/17/15/13/11","A_2",1500,192,120,50,1500,240,1500,31.25
"A13","A10","RTS","A_2","0",2,"8/6/4","A_2",420,193,120,50,420,240,420,8.75
"A13","A11","RTS","A_2","0",2,"8/6","A_2",300,194,120,50,300,240,300,6.25
"A13","A2","RTS","A_2","0",2,"8/6/4/3/26/23/21/19/17/15/13","A_2",1380,195,120,50,1380,240,1380,28.75
"A13","A3","RTS","A_2","0",2,"8/6/4/3/26/23/21/19/17/15","A_2",1260,196,120,50,1260,240,1260,26.25
"A13","A4","RTS","A_2","0",2,"8/6/4/3/26/23/21/19/17","A_2",1140,197,120,50,1140,240,1140,23.75
"A13","A5","RTS","A_2","0",2,"8/6/4/3/26/23/21/19","A_2",1080,198,120,50,1080,240,1080,22.5
"A13","A6","RTS","A_2","0",2,"8/6/4/3/26/23/21","A_2",960,199,120,50,960,240,960,20
"A13","A7","RTS","A_2","0",2,"8/6/4/3/26/23","A_2",840,200,120,50,840,240,840,17.5
"A13","A8","RTS","A_2","0",2,"8/6/4/3/26","A_2",720,201,120,50,720,240,720,15
"A13","A9","RTS","A_2","0",2,"8/6/4/3","A_2",540,202,120,50,540,240,540,11.25
"A14","A1","RTS","A_2","0",1,"10/8/6/4/3/26/23/21/19/17/15/13/11","A_2",1740,203,120,50,1740,240,1740,36.25
"A14","A10","RTS","A_2","0",1,"10/8/6/4","A_2",660,204,120,50,660,240,660,13.75
"A14","A11","RTS","A_2","0",1,"10/8/6","A_2",540,205,120,50,540,240,540,11.25
"A14","A12","RTS","A_2","0",1,"10/8","A_2",420,206,120,50,420,240,420,8.75
"A14","A2","RTS","A_2","0",1,"10/8/6/4/3/26/23/21/19/17/15/13","A_2",1620,207,120,50,1620,240,1620,33.75
